source,activity,disposition
ModuleLoginAndPay/AndroidManifest.xml,com.cmic.sso.sdk.activity.LoginAuthActivity,sdkManaged
QnmLibrary/AndroidManifest.xml,com.jx885.library.album.PhotoPreviewActivity,flutterPage
ModuleLoginAndPay/AndroidManifest.xml,com.jx885.library.web.WebOtherActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.learn.ExamResultActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.learn.LearnActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.learn.LearnActivityExam,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.BackFromAlipayActivity,pluginCallback
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.MainActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.SplashActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.AccountActivityNew,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.AgreeDialogActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.BigSkillCircleResultActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.BigSkillPaperPdfListActivity,removed
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.BigSkillPaperPdfListEntryActivity,removed
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.BigSkillPracticePurchaseSuccessActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.ChangePhoneActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.ChapterPracticeListActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.Crash200QuestionListActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.CustomOnekeyLoginActivity,flutterPage
ultCPA/src/main/AndroidManifest.xml,com.jx885.lrjk.cg.ui.activity.DailySkillDetailActivity,flutterPage
